p,algo,modelo_desc,tasa_pesada
2,adl,adulto ~ peso.total + peso.desenvainado,0.799616949964089
2,adl,adulto ~ peso.total + peso.viscera,0.798180512329423
2,adl,adulto ~ peso.viscera + peso.caparazon,0.7977016997845343
2,kvmc,adulto ~ anillos + long.altura,0.7206128800574575
2,kvmc,adulto ~ anillos + long.diametro,0.7359348814938952
2,kvmc,adulto ~ anillos + long.largo,0.7435958822121139
2,kvmc,adulto ~ anillos + peso.caparazon,0.7517356954752215
2,kvmc,adulto ~ anillos + peso.desenvainado,0.7574814460138856
2,kvmc,adulto ~ anillos + peso.total,0.7407230069427819
2,kvmc,adulto ~ anillos + peso.viscera,0.7548479770169978
2,kvmc,adulto ~ long.altura + peso.caparazon,0.7356954752214508
2,kvmc,adulto ~ long.altura + peso.desenvainado,0.7311467560450083
2,kvmc,adulto ~ long.altura + peso.total,0.7292315058654537
2,kvmc,adulto ~ long.altura + peso.viscera,0.7359348814938952
2,kvmc,adulto ~ long.diametro + long.altura,0.7292315058654537
2,kvmc,adulto ~ long.diametro + peso.caparazon,0.7400047881254489
2,kvmc,adulto ~ long.diametro + peso.desenvainado,0.7210916926023462
2,kvmc,adulto ~ long.diametro + peso.total,0.7483840076610008
2,kvmc,adulto ~ long.diametro + peso.viscera,0.7311467560450083
2,kvmc,adulto ~ long.largo + long.altura,0.7459899449365573
2,kvmc,adulto ~ long.largo + long.diametro,0.729470912137898
2,kvmc,adulto ~ long.largo + peso.caparazon,0.7385683504907828
2,kvmc,adulto ~ long.largo + peso.desenvainado,0.7057696911659086
2,kvmc,adulto ~ long.largo + peso.total,0.7455111323916687
2,kvmc,adulto ~ long.largo + peso.viscera,0.7361742877663395
2,kvmc,adulto ~ peso.desenvainado + peso.caparazon,0.7206128800574575
2,kvmc,adulto ~ peso.desenvainado + peso.viscera,0.7244433804165669
2,kvmc,adulto ~ peso.total + peso.caparazon,0.7373713191285611
2,kvmc,adulto ~ peso.total + peso.desenvainado,0.7395259755805602
2,kvmc,adulto ~ peso.total + peso.viscera,0.73234378740723
2,kvmc,adulto ~ peso.viscera + peso.caparazon,0.7249221929614555
2,qda,adulto ~ anillos + long.altura,0.8108690447689729
2,qda,adulto ~ anillos + long.diametro,0.8063203255925305
2,qda,adulto ~ anillos + long.largo,0.8015322001436438
2,qda,adulto ~ anillos + peso.caparazon,0.798898731146756
2,qda,adulto ~ anillos + peso.desenvainado,0.8082355757720853
2,qda,adulto ~ anillos + peso.total,0.8135025137658607
2,qda,adulto ~ anillos + peso.viscera,0.8154177639454153
2,qda,adulto ~ long.altura + peso.caparazon,0.7795068230787646
2,qda,adulto ~ long.altura + peso.desenvainado,0.7809432607134307
2,qda,adulto ~ long.altura + peso.total,0.7842949485276515
2,qda,adulto ~ long.altura + peso.viscera,0.7909983241560928
2,qda,adulto ~ long.diametro + long.altura,0.794589418242758
2,qda,adulto ~ long.diametro + peso.caparazon,0.7859707924347618
2,qda,adulto ~ long.diametro + peso.desenvainado,0.7898012927938712
2,qda,adulto ~ long.diametro + peso.total,0.7830979171654298
2,qda,adulto ~ long.diametro + peso.viscera,0.7902801053387599
2,qda,adulto ~ long.largo + long.altura,0.7912377304285372
2,qda,adulto ~ long.largo + long.diametro,0.7881254488867608
2,qda,adulto ~ long.largo + peso.caparazon,0.781182666985875
2,qda,adulto ~ long.largo + peso.desenvainado,0.779746229351209
2,qda,adulto ~ long.largo + peso.total,0.7802250418960976
2,qda,adulto ~ long.largo + peso.viscera,0.7744792913574335
2,qda,adulto ~ peso.desenvainado + peso.caparazon,0.7799856356236533
2,qda,adulto ~ peso.desenvainado + peso.viscera,0.7828585108929854
2,qda,adulto ~ peso.total + peso.caparazon,0.7866890112520948
2,qda,adulto ~ peso.total + peso.desenvainado,0.7869284175245391
2,qda,adulto ~ peso.total + peso.viscera,0.7852525736174287
2,qda,adulto ~ peso.viscera + peso.caparazon,0.7854919798898731
2,rlog,adulto ~ anillos + long.altura,0.8036868565956428
2,rlog,adulto ~ anillos + long.diametro,0.8017716064160881
